HomeTeam,AwayTeam,Date,HT_HM_1h_s,HT_HM_1h_m,HT_HM_2h_s,HT_HM_2h_m,HT_AM_1h_s,HT_AM_1h_m,HT_AM_2h_s,HT_AM_2h_m,AT_HM_1h_s,AT_HM_1h_m,AT_HM_2h_s,AT_HM_2h_m,AT_AM_1h_s,AT_AM_1h_m,AT_AM_2h_s,AT_AM_2h_m,HT_FM_1h_s,HT_FM_2h_s,AT_FM_1h_s,AT_FM_2h_s
Aston Villa,Leicester,2019-12-08,2,0,0,0,1,1,0,1,0,0,2,0,0,0,2,0,1,0,2,2
Newcastle,Southampton,2019-12-08,1,1,1,1,1,0,1,0,2,0,0,1,1,1,1,1,0,2,0,1
Norwich,Sheffield United,2019-12-08,2,1,0,1,0,2,1,0,0,1,0,1,1,0,0,1,1,0,0,2
Brighton,Wolves,2019-12-08,0,0,0,2,1,0,1,1,1,0,1,0,2,0,0,1,2,0,2,0
West Ham,Arsenal,2019-12-09,0,2,2,1,0,1,0,1,0,1,1,1,1,2,1,0,1,0,0,3
Liverpool,Watford,2019-12-14,4,2,1,0,2,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0
Burnley,Newcastle,2019-12-14,0,1,1,3,0,3,0,2,0,0,2,1,1,0,1,0,0,1,0,0
Chelsea,Bournemouth,2019-12-14,1,1,1,0,0,1,1,2,0,2,0,1,0,0,0,1,0,0,0,1
Leicester,Norwich,2019-12-14,0,0,2,0,2,1,2,0,1,0,0,2,0,2,1,0,1,0,1,0
Sheffield United,Aston Villa,2019-12-14,0,1,0,1,0,1,2,0,1,2,0,2,1,1,0,1,0,2,0,0
Southampton,West Ham,2019-12-14,2,0,0,1,0,0,1,2,1,0,0,3,0,1,0,1,0,0,1,0
Man United,Everton,2019-12-15,1,1,1,0,2,0,0,1,1,0,2,1,2,4,0,1,0,1,1,0
Wolves,Tottenham,2019-12-15,1,0,1,0,2,2,0,0,3,0,2,0,1,1,0,1,0,1,1,1
Arsenal,Man City,2019-12-15,0,1,1,1,0,1,3,0,0,2,1,0,1,0,3,1,0,0,3,0
Crystal Palace,Brighton,2019-12-16,0,0,1,0,0,0,0,0,2,2,0,0,1,0,1,1,0,1,0,1
Everton,Arsenal,2019-12-21,1,0,2,1,1,0,0,1,0,3,0,0,0,1,3,0,0,0,0,0
Aston Villa,Southampton,2019-12-21,1,2,0,2,0,0,0,2,0,1,0,0,0,0,1,2,0,1,2,1
Bournemouth,Burnley,2019-12-21,0,2,0,1,0,0,1,0,0,0,1,0,0,3,0,2,0,0,0,1
Brighton,Sheffield United,2019-12-21,2,2,0,0,0,0,1,1,0,0,2,0,0,1,2,0,0,0,1,0
Newcastle,Crystal Palace,2019-12-21,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
Norwich,Wolves,2019-12-21,1,0,0,2,1,1,0,0,0,1,1,1,2,2,0,0,1,0,0,2
Man City,Leicester,2019-12-21,0,2,1,0,3,0,0,0,1,1,0,0,2,1,2,0,2,1,1,0
Watford,Man United,2019-12-22,0,0,0,0,0,1,0,1,0,1,1,0,2,0,0,1,0,2,0,0
Tottenham,Chelsea,2019-12-22,3,0,2,0,1,0,1,1,0,0,0,1,0,1,1,2,0,0,2,0
Tottenham,Brighton,2019-12-26,0,2,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,2,1,0
Aston Villa,Norwich,2019-12-26,0,2,1,1,0,0,0,2,1,0,0,2,1,1,0,0,0,1,0,0
